cid,account,action,Full name,Shortened name,status,num,type,sent_by,areacode,campaignId,live_time,test_time,update_time,sent_time,reply_time,proxy,phone,tcr_cid,live,tested,updated,lastmsg,lastreply,percent,target,sent,sent_percent,segments_sent,delivered,delivered_percent,received,dnd,bad,spam,landline,err,skipped,replies,responses,autoresponses,received_percent,received_target_percent,dnd_percent,dnd_target_percent,bad_percent,bad_target_percent,spam_percent,spam_target_percent,landline_percent,landline_target_percent,err_percent,err_target_percent,skipped_percent,skipped_target_percent,replies_percent,replies_target_percent
c_zjtlzwbdahbqh4ptde,Ohio Partners for Affordable Energy,11,62255_EmpowerSaves_OH_Text11_Struggling_OHCAC,Text11_Struggling_OHCAC,Archived,11,SMS,outsourced,614,COP90PK,2025-05-28 14:45:00 GMT-0000,2025-05-27 16:04:37 GMT-0000,2025-05-30 23:00:00 GMT-0000,2025-05-28 14:55:07 GMT-0000,2025-05-28 19:12:19 GMT-0000,"1,614,681,688,216,140,000,000","1,614,681,688,216,140,000,000",COP90PK,2025-05-28 14:45:00 GMT-0000,2025-05-27 16:04:37 GMT-0000,2025-05-30 23:00:00 GMT-0000,2025-05-28 14:55:07 GMT-0000,2025-05-28 19:12:19 GMT-0000,96,561,557,99,1131,537,96,14,11,4,2,0,20,0,3,0,11,3,2,2,2,1,1,0,0,0,0,4,4,0,0,1,1
c_zjtlzwbdahbqh4ptde,Ohio Partners for Affordable Energy,10,62256_EmpowerSaves_OH_Text12_Relief_OHCAC,Text12_Relief_OHCAC,Archived,10,SMS,outsourced,614,COP90PK,2025-05-28 14:57:12 GMT-0000,2025-05-27 16:00:35 GMT-0000,2025-05-30 23:00:00 GMT-0000,2025-05-28 15:06:05 GMT-0000,2025-05-31 17:57:14 GMT-0000,"1,614,681,688,216,140,000,000","1,614,681,688,216,140,000,000",COP90PK,2025-05-28 14:57:12 GMT-0000,2025-05-27 16:00:35 GMT-0000,2025-05-30 23:00:00 GMT-0000,2025-05-28 15:06:05 GMT-0000,2025-05-31 17:57:14 GMT-0000,97,519,529,102,2137,511,97,14,9,6,1,0,18,0,5,0,9,3,3,2,2,1,1,0,0,0,0,3,3,0,0,1,1
c_zjtlzwbdahbqh4ptde,Ohio Partners for Affordable Energy,13,62344_EmpowerSaves_OH_Text13_Struggling_MVCAP,Text13_Struggling_MVCAP,Archived,13,SMS,outsourced,614,COP90PK,2025-06-03 19:20:12 GMT-0000,2025-06-02 21:06:30 GMT-0000,2025-06-05 23:00:00 GMT-0000,2025-06-03 19:22:27 GMT-0000,2025-06-11 19:38:11 GMT-0000,"1,614,681,688,216,140,000,000","1,614,681,688,216,140,000,000",COP90PK,2025-06-03 19:20:12 GMT-0000,2025-06-02 21:06:30 GMT-0000,2025-06-05 23:00:00 GMT-0000,2025-06-03 19:22:27 GMT-0000,2025-06-11 19:38:11 GMT-0000,90,519,519,100,1050,466,90,6,6,35,6,0,53,0,0,0,6,1,1,1,1,7,7,1,1,0,0,10,10,0,0,0,0
c_zjtlzwbdahbqh4ptde,Ohio Partners for Affordable Energy,14,62345_EmpowerSaves_OH_Text14_Relief_MVCAP,Text14_Relief_MVCAP,Archived,14,SMS,outsourced,614,COP90PK,2025-06-03 19:20:43 GMT-0000,2025-06-02 21:11:49 GMT-0000,2025-06-05 23:00:00 GMT-0000,2025-06-03 19:24:16 GMT-0000,2025-06-03 23:37:20 GMT-0000,"1,614,681,688,216,140,000,000","1,614,681,688,216,140,000,000",COP90PK,2025-06-03 19:20:43 GMT-0000,2025-06-02 21:11:49 GMT-0000,2025-06-05 23:00:00 GMT-0000,2025-06-03 19:24:16 GMT-0000,2025-06-03 23:37:20 GMT-0000,92,530,530,100,2142,487,92,14,10,28,2,0,43,0,4,0,10,3,3,2,2,5,5,0,0,0,0,8,8,0,0,1,1
c_zjtlzwbdahbqh4ptde,Ohio Partners for Affordable Energy,15,62392_EmpowerSaves_OH_Text15_Improvements,Text15_Improvements,Archived,15,MMS,outsourced,614,COP90PK,2025-06-11 21:45:00 GMT-0000,2025-06-11 17:50:52 GMT-0000,2025-06-13 23:00:00 GMT-0000,2025-06-11 22:04:24 GMT-0000,2025-06-12 19:45:49 GMT-0000,"1,614,681,688,216,140,000,000","1,614,681,688,216,140,000,000",COP90PK,2025-06-11 21:45:00 GMT-0000,2025-06-11 17:50:52 GMT-0000,2025-06-13 23:00:00 GMT-0000,2025-06-11 22:04:24 GMT-0000,2025-06-12 19:45:49 GMT-0000,85,944,944,100,6,803,85,9,6,23,0,0,141,0,3,0,6,1,1,1,1,2,2,0,0,0,0,15,15,0,0,0,0
c_zjtlzwbdahbqh4ptde,Ohio Partners for Affordable Energy,16,62466_EmpowerSaves_OH_Text16_Improved_OHCAC,Text16_Improved_OHCAC,Archived,16,MMS,outsourced,614,COP90PK,2025-06-21 11:45:00 GMT-0000,2025-06-20 21:13:26 GMT-0000,2025-06-23 23:00:00 GMT-0000,2025-06-21 15:08:05 GMT-0000,2025-06-21 15:33:43 GMT-0000,"1,614,681,688,216,140,000,000","1,614,681,688,216,140,000,000",COP90PK,2025-06-21 11:45:00 GMT-0000,2025-06-20 21:13:26 GMT-0000,2025-06-23 23:00:00 GMT-0000,2025-06-21 15:08:05 GMT-0000,2025-06-21 15:33:43 GMT-0000,92,1050,1050,100,8,967,92,9,8,44,0,0,83,0,1,0,8,1,1,1,1,4,4,0,0,0,0,8,8,0,0,0,0
c_zjtlzwbdahbqh4ptde,Ohio Partners for Affordable Energy,17,62486_ EmpowerSaves_OH_Text17_Improved_MVCAP,Text17_Improved_MVCAP,Archived,17,MMS,outsourced,614,COP90PK,2025-06-21 11:45:00 GMT-0000,2025-06-20 21:16:16 GMT-0000,2025-06-23 23:00:00 GMT-0000,2025-06-21 15:11:26 GMT-0000,2025-06-22 01:11:04 GMT-0000,"1,614,681,688,216,140,000,000","1,614,681,688,216,140,000,000",COP90PK,2025-06-21 11:45:00 GMT-0000,2025-06-20 21:16:16 GMT-0000,2025-06-23 23:00:00 GMT-0000,2025-06-21 15:11:26 GMT-0000,2025-06-22 01:11:04 GMT-0000,91,950,965,102,15,881,91,20,15,39,0,0,84,0,5,0,15,2,2,2,2,4,4,0,0,0,0,9,9,0,0,1,1
c_zjtlzwbdahbqh4ptde,Ohio Partners for Affordable Energy,18,62487_EmpowerSaves_OH_Text18_Improved_COAD,Text18_Improved_COAD,Archived,18,MMS,outsourced,614,COP90PK,2025-06-21 11:45:00 GMT-0000,2025-06-20 21:40:36 GMT-0000,2025-06-23 23:00:00 GMT-0000,2025-06-21 15:18:54 GMT-0000,2025-06-21 20:01:57 GMT-0000,"1,614,681,688,216,140,000,000","1,614,681,688,216,140,000,000",COP90PK,2025-06-21 11:45:00 GMT-0000,2025-06-20 21:40:36 GMT-0000,2025-06-23 23:00:00 GMT-0000,2025-06-21 15:18:54 GMT-0000,2025-06-21 20:01:57 GMT-0000,79,1278,1287,101,16,1020,79,19,17,54,0,3,267,0,2,0,16,1,1,1,1,4,4,0,0,0,0,21,21,0,0,0,0
c_zjtlzwbdahbqh4ptde,Ohio Partners for Affordable Energy,20,62629_EmpowerSaves_OH_Text19_StayCool_IMPACT,Text19_StayCool_IMPACT,Archived,20,SMS,outsourced,614,COP90PK,2025-07-09 21:45:00 GMT-0000,2025-07-09 13:10:35 GMT-0000,2025-07-11 23:00:00 GMT-0000,2025-07-09 22:18:40 GMT-0000,2025-07-13 16:09:01 GMT-0000,"1,614,681,688,216,140,000,000","1,614,681,688,216,140,000,000",COP90PK,2025-07-09 21:45:00 GMT-0000,2025-07-09 13:10:35 GMT-0000,2025-07-11 23:00:00 GMT-0000,2025-07-09 22:18:40 GMT-0000,2025-07-13 16:09:01 GMT-0000,86,916,916,100,2767,784,86,18,13,26,57,0,132,0,5,0,13,2,2,1,1,3,3,6,6,0,0,14,14,0,0,1,1
c_zjtlzwbdahbqh4ptde,Ohio Partners for Affordable Energy,19,62631_EmpowerSaves_OH_Text20_StayCool_COAD,Text20_StayCool_COAD,Archived,19,SMS,outsourced,614,COP90PK,2025-07-09 21:45:00 GMT-0000,2025-07-09 13:08:11 GMT-0000,2025-07-11 23:00:00 GMT-0000,2025-07-09 22:15:17 GMT-0000,2025-07-15 15:42:08 GMT-0000,"1,614,681,688,216,140,000,000","1,614,681,688,216,140,000,000",COP90PK,2025-07-09 21:45:00 GMT-0000,2025-07-09 13:08:11 GMT-0000,2025-07-11 23:00:00 GMT-0000,2025-07-09 22:15:17 GMT-0000,2025-07-15 15:42:08 GMT-0000,69,1009,1217,121,3686,837,69,37,29,189,169,0,380,0,8,0,29,3,4,2,3,16,19,14,17,0,0,31,38,0,0,1,1
c_zjtlzwbdahbqh4ptde,Ohio Partners for Affordable Energy,21,62632_EmpowerSaves_OH_Text21_StayCool_MVCAP,Text21_StayCool_MVCAP,Archived,21,SMS,outsourced,614,COP90PK,2025-07-09 21:45:00 GMT-0000,2025-07-09 13:13:55 GMT-0000,2025-07-11 23:00:00 GMT-0000,2025-07-09 22:21:45 GMT-0000,2025-07-09 22:21:45 GMT-0000,"1,614,681,688,216,140,000,000","1,614,681,688,216,140,000,000",COP90PK,2025-07-09 21:45:00 GMT-0000,2025-07-09 13:13:55 GMT-0000,2025-07-11 23:00:00 GMT-0000,2025-07-09 22:21:45 GMT-0000,2025-07-09 22:21:45 GMT-0000,96,910,910,100,2741,870,96,5,5,30,1,0,40,0,0,0,5,1,1,1,1,3,3,0,0,0,0,4,4,0,0,0,0
c_zjtlzwbdahbqh4ptde,Ohio Partners for Affordable Energy,22,62633_EmpowerSaves_OH_Text22_StayCool_OHCAC,Text22_StayCool_OHCAC,Archived,22,SMS,outsourced,614,COP90PK,2025-07-09 21:45:00 GMT-0000,2025-07-09 13:16:45 GMT-0000,2025-07-11 23:00:00 GMT-0000,2025-07-09 22:24:57 GMT-0000,2025-07-10 14:45:14 GMT-0000,"1,614,681,688,216,140,000,000","1,614,681,688,216,140,000,000",COP90PK,2025-07-09 21:45:00 GMT-0000,2025-07-09 13:16:45 GMT-0000,2025-07-11 23:00:00 GMT-0000,2025-07-09 22:24:57 GMT-0000,2025-07-10 14:45:14 GMT-0000,97,946,973,103,2944,941,97,25,19,14,6,0,32,0,6,0,19,3,3,2,2,1,1,1,1,0,0,3,3,0,0,1,1
c_zjtlzwbdahbqh4ptde,Ohio Partners for Affordable Energy,24,62710_EmpowerSaves_OH_Text23_GetHelp_IMPACT_Morning,Text23_GetHelp_IMPACT_Morning,Archived,24,SMS,outsourced,614,COP90PK,2025-07-17 13:45:00 GMT-0000,2025-07-16 17:00:35 GMT-0000,2025-07-19 16:00:00 GMT-0000,2025-07-17 15:02:56 GMT-0000,2025-07-18 19:22:19 GMT-0000,"1,614,681,688,216,140,000,000","1,614,681,688,216,140,000,000",COP90PK,2025-07-17 13:45:00 GMT-0000,2025-07-16 17:00:35 GMT-0000,2025-07-19 16:00:00 GMT-0000,2025-07-17 15:02:56 GMT-0000,2025-07-18 19:22:19 GMT-0000,92,421,421,100,3379,388,92,5,4,2,1,0,33,0,1,0,4,1,1,1,1,0,0,0,0,0,0,8,8,0,0,0,0
c_zjtlzwbdahbqh4ptde,Ohio Partners for Affordable Energy,25,62716_EmpowerSaves_OH_Text24_GetHelp_IMPACT_Evening,Text24_GetHelp_IMPACT_Evening,Archived,25,SMS,outsourced,614,COP90PK,2025-07-17 20:45:00 GMT-0000,2025-07-16 17:29:51 GMT-0000,2025-07-19 23:00:00 GMT-0000,2025-07-17 21:04:15 GMT-0000,2025-07-18 20:55:06 GMT-0000,"1,614,681,688,216,140,000,000","1,614,681,688,216,140,000,000",COP90PK,2025-07-17 20:45:00 GMT-0000,2025-07-16 17:29:51 GMT-0000,2025-07-19 23:00:00 GMT-0000,2025-07-17 21:04:15 GMT-0000,2025-07-18 20:55:06 GMT-0000,95,435,435,100,3437,415,95,6,4,2,0,0,20,0,2,0,4,1,1,1,1,0,0,0,0,0,0,5,5,0,0,0,0
c_zjtlzwbdahbqh4ptde,Ohio Partners for Affordable Energy,26,62713_EmpowerSaves_OH_Text25_GetHelp_OHCAC_Morning,Text25_GetHelp_OHCAC_Morning,Archived,26,SMS,outsourced,614,COP90PK,2025-07-17 13:45:00 GMT-0000,2025-07-16 17:38:58 GMT-0000,2025-07-19 16:00:00 GMT-0000,2025-07-17 15:12:56 GMT-0000,2025-07-17 19:07:23 GMT-0000,"1,614,681,688,216,140,000,000","1,614,681,688,216,140,000,000",COP90PK,2025-07-17 13:45:00 GMT-0000,2025-07-16 17:38:58 GMT-0000,2025-07-19 16:00:00 GMT-0000,2025-07-17 15:12:56 GMT-0000,2025-07-17 19:07:23 GMT-0000,98,466,466,100,3524,458,98,7,7,2,0,0,8,0,0,0,7,2,2,2,2,0,0,0,0,0,0,2,2,0,0,0,0
c_zjtlzwbdahbqh4ptde,Ohio Partners for Affordable Energy,27,62718_EmpowerSaves_OH_Text26_GetHelp_OHCAC_Evening,Text26_GetHelp_OHCAC_Evening,Archived,27,SMS,outsourced,614,COP90PK,2025-07-17 20:45:00 GMT-0000,2025-07-16 17:49:37 GMT-0000,2025-07-19 23:00:00 GMT-0000,2025-07-17 21:07:42 GMT-0000,2025-07-18 02:20:39 GMT-0000,"1,614,681,688,216,140,000,000","1,614,681,688,216,140,000,000",COP90PK,2025-07-17 20:45:00 GMT-0000,2025-07-16 17:49:37 GMT-0000,2025-07-19 23:00:00 GMT-0000,2025-07-17 21:07:42 GMT-0000,2025-07-18 02:20:39 GMT-0000,98,472,471,100,3465,463,98,3,3,1,0,0,8,0,0,0,3,1,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0
c_zjtlzwbdahbqh4ptde,Ohio Partners for Affordable Energy,28,62714_EmpowerSaves_OH_Text27_GetHelp_MVCAP_Morning,Text27_GetHelp_MVCAP_Morning,Archived,28,SMS,outsourced,614,COP90PK,2025-07-17 13:45:00 GMT-0000,2025-07-16 17:53:43 GMT-0000,2025-07-19 16:00:00 GMT-0000,2025-07-17 15:05:43 GMT-0000,2025-07-17 20:42:18 GMT-0000,"1,614,681,688,216,140,000,000","1,614,681,688,216,140,000,000",COP90PK,2025-07-17 13:45:00 GMT-0000,2025-07-16 17:53:43 GMT-0000,2025-07-19 16:00:00 GMT-0000,2025-07-17 15:05:43 GMT-0000,2025-07-17 20:42:18 GMT-0000,99,429,429,100,3250,423,99,7,6,1,0,0,6,0,1,0,6,2,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0
c_zjtlzwbdahbqh4ptde,Ohio Partners for Affordable Energy,29,62719_EmpowerSaves_OH_Text28_GetHelp_MVCAP_Evening,Text28_GetHelp_MVCAP_Evening,Archived,29,SMS,outsourced,614,COP90PK,2025-07-17 20:45:00 GMT-0000,2025-07-16 17:59:00 GMT-0000,2025-07-19 23:00:00 GMT-0000,2025-07-17 21:09:35 GMT-0000,2025-07-18 18:36:05 GMT-0000,"1,614,681,688,216,140,000,000","1,614,681,688,216,140,000,000",COP90PK,2025-07-17 20:45:00 GMT-0000,2025-07-16 17:59:00 GMT-0000,2025-07-19 23:00:00 GMT-0000,2025-07-17 21:09:35 GMT-0000,2025-07-18 18:36:05 GMT-0000,99,421,427,101,3161,423,99,9,8,0,0,0,4,0,1,0,8,2,2,2,2,0,0,0,0,0,0,1,1,0,0,0,0
c_zjtlzwbdahbqh4ptde,Ohio Partners for Affordable Energy,30,62715_EmpowerSaves_OH_Text29_GetHelp_COAD_Morning,Text29_GetHelp_COAD_Morning,Archived,30,SMS,outsourced,614,COP90PK,2025-07-19 13:45:00 GMT-0000,2025-07-16 18:04:41 GMT-0000,2025-07-21 16:00:01 GMT-0000,2025-07-19 14:39:23 GMT-0000,2025-07-19 19:57:02 GMT-0000,"1,614,681,688,216,140,000,000","1,614,681,688,216,140,000,000",COP90PK,2025-07-19 13:45:00 GMT-0000,2025-07-16 18:04:41 GMT-0000,2025-07-21 16:00:01 GMT-0000,2025-07-19 14:39:23 GMT-0000,2025-07-19 19:57:02 GMT-0000,97,490,488,100,3498,472,97,5,3,7,0,0,16,0,2,0,3,1,1,1,1,1,1,0,0,0,0,3,3,0,0,0,0
c_zjtlzwbdahbqh4ptde,Ohio Partners for Affordable Energy,31,62720_EmpowerSaves_OH_Text30_GetHelp_COAD_Evening,Text30_GetHelp_COAD_Evening,Archived,31,SMS,outsourced,614,COP90PK,2025-07-17 20:45:00 GMT-0000,2025-07-16 18:07:57 GMT-0000,2025-07-19 23:00:00 GMT-0000,2025-07-17 21:11:27 GMT-0000,2025-07-18 00:16:37 GMT-0000,"1,614,681,688,216,140,000,000","1,614,681,688,216,140,000,000",COP90PK,2025-07-17 20:45:00 GMT-0000,2025-07-16 18:07:57 GMT-0000,2025-07-19 23:00:00 GMT-0000,2025-07-17 21:11:27 GMT-0000,2025-07-18 00:16:37 GMT-0000,96,508,508,100,3587,487,96,8,5,8,0,0,21,0,3,0,5,2,2,1,1,2,2,0,0,0,0,4,4,0,0,1,1
c_zjtlzwbdahbqh4ptde,Ohio Partners for Affordable Energy,32,62776_EmpowerSaves_OH_Text31_SummerCrisisProgram_Impact,Text31_SummerCrisisProgram_Impact,Archived,32,SMS,outsourced,614,COP90PK,2025-07-24 19:45:00 GMT-0000,2025-07-23 15:21:24 GMT-0000,2025-07-27 00:00:00 GMT-0000,2025-07-24 20:22:17 GMT-0000,2025-08-07 13:36:10 GMT-0000,"1,614,681,688,216,140,000,000","1,614,681,688,216,140,000,000",COP90PK,2025-07-24 19:45:00 GMT-0000,2025-07-23 15:21:24 GMT-0000,2025-07-27 00:00:00 GMT-0000,2025-07-24 20:22:17 GMT-0000,2025-08-07 13:36:10 GMT-0000,94,836,836,100,6707,788,94,7,3,3,3,0,48,0,4,0,3,1,1,0,0,0,0,0,0,0,0,6,6,0,0,0,0
c_zjtlzwbdahbqh4ptde,Ohio Partners for Affordable Energy,33,62777_EmpowerSaves_OH_Text32_SummerCrisisProgram_COAD,Text32_SummerCrisisProgram_COAD,Archived,33,SMS,outsourced,614,COP90PK,2025-07-24 19:45:00 GMT-0000,2025-07-23 15:56:15 GMT-0000,2025-07-27 00:00:00 GMT-0000,2025-07-24 20:05:21 GMT-0000,2025-08-01 17:58:44 GMT-0000,"1,614,681,688,216,140,000,000","1,614,681,688,216,140,000,000",COP90PK,2025-07-24 19:45:00 GMT-0000,2025-07-23 15:56:15 GMT-0000,2025-07-27 00:00:00 GMT-0000,2025-07-24 20:05:21 GMT-0000,2025-08-01 17:58:44 GMT-0000,97,946,968,102,7780,940,97,24,20,7,0,0,28,0,4,0,20,2,3,2,2,1,1,0,0,0,0,3,3,0,0,0,0
